ubigeo,neighbor_ubigeo
030604,050505
030604,050506
030604,051104
030605,030202
030605,030215
030605,030216
030605,030606
030605,030608
030605,050505
030606,030601
030606,030602
030606,030604
030606,030605
030606,030608
030606,050505
030607,030212
030607,030215
030607,030602
030607,030603
030607,030608
030607,051107
030608,030215
030608,030602
030608,030605
030608,030606
030608,030607
030701,030103
030701,030106
030701,030306
030701,030307
030701,030702
030701,030707
030701,030710
030701,030712
030702,030106
030702,030701
030702,030703
030702,030704
030702,030706
030702,030708
030702,030712
030702,030714
030703,030104
030703,030106
030703,030503
030703,030702
030703,030704
030704,030503
030704,030702
030704,030703
030704,030708
030705,030305
030705,030706
030705,030709
030705,030711
030706,030305
030706,030702
030706,030705
030706,030707
030706,030709
030706,030710
030706,030712
030706,030714
030707,030303
030707,030307
030707,030701
030707,030706
030707,030709
030707,030710
030707,030711
030707,030713
030708,030503
030708,030506
030708,030702
030708,030704
030708,030714
030709,030705
030709,030706
030709,030707
030709,030710
030709,030711
030710,030701
030710,030706
030710,030707
030710,030709
030710,030712
030711,030305
030711,030705
030711,030707
030711,030709
030711,030713
030712,030701
030712,030702
030712,030706
030712,030710
030713,030303
030713,030305
030713,030707
030713,030711
030714,030305
030714,030506
030714,030702
030714,030706
030714,030708
040101,040102
040101,040107
040101,040109
040101,040110
040101,040112
040101,040117
040101,040126
040101,040129
040102,040101
040102,040103
040102,040106
040102,040110
040102,040119
040102,040126
040103,040102
040103,040104
040103,040106
040103,040110
040103,040119
040103,040126
040103,040128
040104,040103
040104,040117
040104,040123
040104,040124
040104,040126
040104,040128
040105,040106
040105,040111
040105,040113
040105,040116
040105,040119
040105,040122
040106,040102
040106,040103
040106,040105
040106,040109
040106,040110
040106,040112
040106,040116
040106,040119
040107,040101
040107,040117
040107,040122
040107,040123
040107,040127
040107,040129
040108,040124
040108,040125
040108,040127
040108,040701
040108,040702
040109,040101
040109,040106
040109,040110
040109,040112
040110,040101
040110,040102
040110,040103
040110,040106
040110,040109
040110,040119
040111,040105
040111,040113
040111,040115
040111,040122
040111,040127
040112,040101
040112,040106
040112,040109
040112,040116
040112,040129
040113,040105
040113,040111
040113,040114
040113,040115
040113,040119
040113,180208
040114,040113
040114,040115
040114,040127
040114,040702
040114,180205
040114,180208
040115,040111
040115,040113
040115,040114
040115,040127
040116,040105
040116,040106
040116,040112
040116,040122
040116,040129
040117,040101
040117,040104
040117,040107
040117,040123
040117,040126
040118,040120
040118,040121
040118,040207
040118,040520
040119,040102
040119,040103
040119,040105
040119,040106
040119,040110
040119,040113
040119,040128
040119,040514
040119,180203
040119,180207
040119,180208
040119,180210
040119,211103
040120,040118
040120,040121
040120,040125
040120,040508
040120,040511
040120,040520
040121,040118
040121,040120
040121,040125
040121,040207
040122,040105
040122,040107
040122,040111
040122,040116
040122,040127
040122,040129
040123,040104
040123,040107
040123,040117
040123,040124
040123,040127
040124,040104
040124,040108
040124,040123
040124,040125
040124,040127
040124,040128
040125,040108
040125,040120
040125,040121
040125,040124
040125,040128
040125,040207
040125,040508
040125,040701
040125,040704
040126,040101
040126,040102
040126,040103
040126,040104
040126,040117
040127,040107
040127,040108
040127,040111
040127,040114
040127,040115
040127,040122
040127,040123
040127,040124
040127,040701
040127,040702
040128,040103
040128,040104
040128,040119
040128,040124
040128,040125
040128,040502
040128,040508
040128,040514
040128,040519
040129,040101
040129,040107
040129,040112
040129,040116
040129,040122
040201,040202
040201,040204
040201,040208
040202,040201
040202,040204
040202,040205
040202,040208
040203,040206
040203,040301
040203,040303
040203,040602
040203,040606
040204,040201
040204,040202
040204,040205
040204,040206
040204,040601
040205,040202
040205,040204
040205,040208
040205,040413
040205,040520
040205,040601
040206,040203
040206,040204
040206,040303
040206,040601
040206,040602
040207,040118
040207,040121
040207,040125
040207,040208
040207,040520
040207,040704
040208,040201
040208,040202
040208,040205
040208,040207
040208,040520
040301,040203
040301,040303
040301,040306
040301,040606
040301,040608
040302,040305
040302,040310
040302,040313
040302,050617
040302,050619
040302,050621
040303,040203
040303,040206
040303,040301
040303,040306
040303,040308
040303,040312
040304,040307
040304,040309
040304,040310
040304,040313
040304,050619
040304,050705
040305,040302
040305,040311
040305,040313
040305,050617
040305,050621
040305,110304
040306,040301
040306,040303
040306,040312
040306,040606
040306,040608
040306,040809
040306,050706
040306,050801
040307,040304
040307,040308
040307,040309
040308,040303
040308,040307
040308,040309
040308,040312
040309,040304
040309,040307
040309,040308
040309,040312
040309,050705
040310,040302
040310,040304
040310,040313
040310,050619
040310,050705
040311,040305
040311,110304
040312,040303
040312,040306
040312,040308
040312,040309
040312,050705
040312,050706
040313,040302
040313,040304
040313,040305
040313,040310
040401,040407
040401,040410
040401,040411
040401,040412
040401,040413
040401,040601
040401,040605
040402,040403
040402,040404
040402,040405
040402,040408
040402,040409
040402,040603
040402,040607
040403,040402
040403,040404
040403,040406
040403,040408
040403,040412
040403,040507
040404,040402
040404,040403
040404,040406
040404,040409
040404,040505
040404,040603
040405,040402
040405,040409
040405,040603
040406,040403
040406,040404
040406,040503
040406,040505
040406,040507
040406,040516
040407,040401
